BatchFileName,Indiv_Index,Race,DifficultyPerceiving,AgeCategory,Gender,DistanceBetweenOfficerAndIndividual,ReasonUseOfForce_EffectArrest,ReasonUseOfForce_PreventOffence,ReasonUseOfForce_PreventEscape,ReasonUseOfForce_ProtectOtherOfficers,ReasonUseOfForce_ProtectPublic,ReasonUseOfForce_ProtectSelf,ReasonUseOfForce_ProtectIndividual,ReasonUseOfForce_Unintentional,ReasonUseOfForce_Other,FactorsInfluenceResponse_NatureIncident,FactorsInfluenceResponse_PastHistory,FactorsInfluenceResponse_PhysicalSizeStrength,FactorsInfluenceResponse_OtherFactors,IndividualActions_ResistantPassive,IndividualActions_ResistantActive,IndividualActions_Assaultive,IndividualActions_SeriousBodilyHarmDeath,PerceiveAccessWeapon,OfficerResponses_DirectionsToComply,OfficerResponses_Comply,OfficerResponses_AttemptDeescalation,OfficerResponses_DeescalationTechniques_Communication,OfficerResponses_DeescalationTechniques_Containment,OfficerResponses_DeescalationTechniques_Cover,OfficerResponses_DeescalationTechniques_Distance,OfficerResponses_DeescalationTechniques_Repositioning,OfficerResponses_DeescalationTechniques_Teamwork,OfficerResponses_DeescalationTechniques_Time,OfficerResponses_DeescalationTechniques_Other,OfficerResponses_AssistControllingBehaviour,OfficerResponses_Reason_ImminentThreat,OfficerResponses_Reason_ActionRequiredImmediately,OfficerResponses_Reason_DeescalationUsedOtherOfficers,OfficerResponses_Reason_Other,TypeForceUsed_PhysicalControl_Check,TypeForceUsed_PhysicalControl_EscortTechniques,TypeForceUsed_PhysicalControl_Grounding,TypeForceUsed_PhysicalControl_Jointlocks,TypeForceUsed_PhysicalControl_Pinning,TypeForceUsed_PhysicalControl_PressurePoints,TypeForceUsed_PhysicalControl_Strikes,TypeForceUsed_PhysicalControl_Other,TypeForceUsed_PhysicalControl_AssistControllingBehaviour,TypeForceUsed_IntermediateWeapon_Check,TypeForceUsed_IntermediateWeapon_OC_Check,TypeForceUsed_IntermediateWeapon_OC_AssistControllingBehaviour,TypeForceUsed_IntermediateWeapon_Baton_Check,TypeForceUsed_IntermediateWeapon_Baton_Hard,TypeForceUsed_IntermediateWeapon_Baton_Soft,TypeForceUsed_IntermediateWeapon_Baton_AssistControllingBehaviour,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_Check,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_AssistControllingBehaviour,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_WhyNot_CartridgeMalfunction,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_WhyNot_Disconnect,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_WhyNot_InsufficientProbeSpread,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_WhyNot_OperatorError,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_WhyNot_ProbeMiss,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_WhyNot_WeaponMalfunction,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_WhyNot_Other,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_Drawn,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_Pointed,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_Discharged,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_DeloymentMode_Cartridge,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_DeloymentMode_DrivePushStun,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_DeloymentMode_ThreePointContact,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_DrivePushStunCycles,TypeForceUsed_IntermediateWeapon_ConductedEnergyWeapon_ThreePointContactCycles,TypeForceUsed_LessLethalFirearm_Check,TypeForceUsed_LessLethalFirearm_Shotgun_Check,TypeForceUsed_LessLethalFirearm_Shotgun_Pointed,TypeForceUsed_LessLethalFirearm_Shotgun_Discharged,TypeForceUsed_LessLethalFirearm_Shotgun_AssistControllingBehaviour,TypeForceUsed_LessLethalFirearm_ExtendedRangeImpactWeapon_Check,TypeForceUsed_LessLethalFirearm_ExtendedRangeImpactWeapon_Pointed,TypeForceUsed_LessLethalFirearm_ExtendedRangeImpactWeapon_Discharged,TypeForceUsed_LessLethalFirearm_ExtendedRangeImpactWeapon_AssistControllingBehaviour,TypeForceUsed_Other_Check,TypeForceUsed_Other_AssistControllingBehaviour,TypeForceUsed_Firearm_Check,TypeForceUsed_Firearm_Handgun_Check,TypeForceUsed_Firearm_Handgun_Drawn,TypeForceUsed_Firearm_Handgun_Pointed,TypeForceUsed_Firearm_Handgun_Discharged,TypeForceUsed_Firearm_Handgun_AssistControllingBehaviour,TypeForceUsed_Firearm_Rifle_Check,TypeForceUsed_Firearm_Rifle_Pointed,TypeForceUsed_Firearm_Rifle_Discharged,TypeForceUsed_Firearm_Rifle_AssistControllingBehaviour,TypeForceUsed_Firearm_ShotgunLethal_Check,TypeForceUsed_Firearm_ShotgunLethal_Pointed,TypeForceUsed_Firearm_ShotgunLethal_Discharged,TypeForceUsed_Firearm_ShotgunLethal_AssistControllingBehaviour,TypeForceUsed_Firearm_IssuePoliceChallenge,TypeForceUsed_Firearm_Comply,TypeForceUsed_Firearm_NoChallengeWhyNot_NotViable,TypeForceUsed_Firearm_NoChallengeWhyNot_IssuedByAnotherOfficer,TypeForceUsed_Firearm_NoChallengeWhyNot_Other,IndividualInjuries_PhysicalInjuriesIndividual,IndividualInjuries_Treatment_No,IndividualInjuries_Treatment_FirstAid,IndividualInjuries_Treatment_MedicalPersonnelScene,IndividualInjuries_Treatment_AdmissionMedicalFacility,IndividualInjuries_Treatment_MedicalFacility,IndividualInjuries_Treatment_Unknown,IndividualInjuries_Treatment_Other
162321162,1,White,No,35 - 44,Male,Greater than 7 metres (more than 23 feet),,1,,1,1,1,,,,,,,,1,,,,1,Yes,No,Yes,1,1,,1,1,1,,,No,,,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,,,,,"",1,1,,Yes,,,,"",Yes,No,,,,No,,,,,,,
941495923,1,White,No,25 - 34,Male,3 to 7 metres (approx. 10 to 23 feet),1,,,1,1,1,,,,1,,,,,,,,,Yes,Yes,No,,,,,,,,,"",1,,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,1,1,1,,Yes,,,,"",,,,"",No,"",,,1,No,,,,,,,
426118889,1,White,No,35 - 44,Male,Less than 3 metres (approx. 10 feet),1,,,1,,1,,,,1,1,,1,,,,,,Yes,Yes,Yes,1,,,,,1,,,Yes,,,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,,,,,"",1,1,,Yes,,,,"",Yes,Yes,,,,No,,,,,,,
426118889,2,White,No,65 and older,Male,Less than 3 metres (approx. 10 feet),1,,,1,,1,,,,1,,,,,,,,1,Yes,Yes,Yes,1,,,,,1,,,Yes,,,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,,,,,"",1,1,,Yes,,,,"",Yes,Yes,,,,No,,,,,,,
845173022,1,Indigenous,No,35 - 44,Male,3 to 7 metres (approx. 10 to 23 feet),1,1,1,1,1,1,1,,,1,1,1,,,1,1,,1,Yes,No,Yes,1,1,,1,1,1,,,No,,,,,1,1,,,1,,,,Yes,1,,"",,,,"",1,Yes,,,,,,,,1,1,1,1,,,"","",,,,,"",,,,"",1,Yes,,,,,,"",,,,"",,,,"","","",,,,Yes,,,,,,,1
614597838,1,Indigenous,No,35 - 44,Male,Less than 3 metres (approx. 10 feet),,1,,1,,1,1,,,1,1,1,1,,1,1,1,1,No,"",Yes,1,1,1,1,1,1,,,No,,,,,1,1,,1,1,,,,No,1,,"",,,,"",1,Yes,,,,,,,,1,1,1,1,,,"","",,,,,"",,,,"",,"",,,,,,"",,,,"",,,,"","","",,,,Yes,,,,,,,1
337834844,1,Indigenous,No,35 - 44,Male,3 to 7 metres (approx. 10 to 23 feet),1,1,,1,,1,1,,,,1,1,,,1,1,,1,Yes,Yes,Yes,1,1,1,1,1,1,,,Yes,,,,,1,1,,,1,,,,Yes,1,,"",,,,"",1,Yes,,,,,,,,1,1,1,,,1,"",Extended Cycle (more than 5 seconds),,,,,"",,,,"",,"",,,,,,"",,,,"",,,,"","","",,,,No,,,,,,,
344108593,1,White,No,35 - 44,Male,Less than 3 metres (approx. 10 feet),1,,1,1,,1,1,,,1,1,,,,,,,1,Yes,Yes,Yes,1,1,,,,,,1,No,,,,,1,,1,,,,,,Yes,,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,,,,,"",1,1,,Yes,,,,"",Yes,No,,,,No,,,,,,,
998980150,1,Black,No,18 - 24,Male,Less than 3 metres (approx. 10 feet),1,,1,1,,1,,,,1,,,1,,1,,,1,Yes,Yes,Yes,1,,,1,,1,,,Yes,,,,,1,,,,1,,,,Yes,1,,"",,,,"",1,Yes,,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",,,,,,"",,,,"",,,,"","","",,,,No,,,,,,,
563609203,1,Indigenous,No,35 - 44,Male,3 to 7 metres (approx. 10 to 23 feet),1,,1,1,1,1,,,,1,1,,,,,1,1,1,Yes,No,Yes,1,,,1,1,1,,,No,,,,,,,,,,,,,"",1,,"",,,,"",1,Yes,,,,,,,,1,1,1,1,,,"","",,,,,"",,,,"",,"",1,1,1,1,,Yes,,,,"",,,,"",Yes,No,,,,No,,,,,,,
579609379,1,White,No,25 - 34,Male,Less than 3 metres (approx. 10 feet),1,,,1,,1,,,,,,1,,,1,1,,,Yes,No,Yes,1,,,,,,,,No,,,,,1,,1,,,,,,No,1,,"",,,,"",1,Yes,,,,,,,,1,1,1,1,,,"","",,,,,"",,,,"",,"",,,,,,"",,,,"",,,,"","","",,,,No,,,,,,,
344569482,1,White,No,25 - 34,Male,3 to 7 metres (approx. 10 to 23 feet),,,,1,1,1,,,,,,,,1,1,,1,1,Yes,Yes,Yes,1,,,1,1,1,,,Yes,,,,,1,,,,1,,,,Yes,1,,"",,,,"",1,Yes,,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,1,1,1,,Yes,,,,"",,,,"",Yes,Yes,,,,No,,,,,,,
278481157,1,White,No,25 - 34,Male,3 to 7 metres (approx. 10 to 23 feet),1,1,,1,,,,,,1,1,,1,,,,,,Yes,Yes,Yes,1,,,,,,,,Yes,,,,,,,,,,,,,"",1,,"",,,,"",1,Yes,,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",,,,,,"",,,,"",,,,"","","",,,,No,,,,,,,
615686275,1,White,No,35 - 44,Male,Greater than 7 metres (more than 23 feet),1,,,,,1,,,,,,,,,,,1,1,Yes,Yes,No,,,,,,,,,"",,,,1,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,1,1,1,,Yes,,,,"",,,,"",No,"",,,1,No,,,,,,,
162610183,1,White,No,35 - 44,Male,Less than 3 metres (approx. 10 feet),1,1,1,1,,1,,,,,1,,,,,,1,,Yes,Yes,Yes,1,,,1,,1,,,Yes,,,,,1,,1,,,,,,Yes,,,"",,,,"",,"",,,,,,,,,,,,,,"","",1,1,1,,Yes,,,,"",,"",1,,,,,"",1,1,,Yes,,,,"",Yes,Yes,,,,No,,,,,,,
523319457,1,Indigenous,No,18 - 24,Male,3 to 7 metres (approx. 10 to 23 feet),1,1,1,1,1,1,1,,,,1,,,,,1,1,1,Yes,No,Yes,1,1,1,1,1,1,,,Yes,,,,,1,1,,,1,,,,Yes,,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,,,,,"",1,1,,Yes,,,,"",Yes,Yes,,,,No,,,,,,,
275630040,1,Indigenous,No,17 and younger,Male,Greater than 7 metres (more than 23 feet),1,1,1,1,1,1,1,1,,1,,,,,,,,,Yes,Yes,Yes,1,1,1,1,,1,,,Yes,,,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,,,,,"",1,1,,Yes,,,,"",Yes,Yes,,,,No,,,,,,,
983304256,1,White,No,25 - 34,Male,3 to 7 metres (approx. 10 to 23 feet),1,1,1,1,1,1,1,,,1,,,,,,,1,1,Yes,Yes,Yes,1,1,1,1,1,1,,,Yes,,,,,1,1,,,,,,,Yes,,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,,,,,"",1,1,,Yes,,,,"",Yes,Yes,,,,No,,,,,,,
983304256,2,White,No,25 - 34,Male,3 to 7 metres (approx. 10 to 23 feet),1,1,1,1,1,1,1,,,1,,,,,,,1,1,Yes,Yes,Yes,1,1,1,1,1,1,,,Yes,,,,,1,1,,,,,,,Yes,,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,,,,,"",1,1,,Yes,,,,"",Yes,Yes,,,,No,,,,,,,
140542773,1,Middle Eastern,No,35 - 44,Male,3 to 7 metres (approx. 10 to 23 feet),,1,,,1,1,,,,1,,,,,,,1,1,Yes,Yes,No,,,,,,,,,"",1,1,1,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,1,1,1,,Yes,,,,"",,,,"",No,"",,,1,No,,,,,,,
173358113,1,White,No,45 - 54,Male,Greater than 7 metres (more than 23 feet),1,1,1,1,1,1,1,,,,,,,,,,1,1,Yes,Yes,Yes,1,1,1,1,,1,,,Yes,,,,,1,1,,,,,,,Yes,,,"",,,,"",,"",,,,,,,,,,,,,,"","",1,,,,"",1,1,,Yes,,"",1,,,,,"",1,,,Yes,,,,"","","",,,,No,,,,,,,
493121169,1,White,No,35 - 44,Male,3 to 7 metres (approx. 10 to 23 feet),1,1,1,1,,1,1,,,,1,,,,1,1,,,Yes,No,Yes,1,,,1,,1,,,Yes,,,,,1,1,,,1,,,,Yes,1,,"",,,,"",1,Yes,,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",,,,,,"",,,,"",,,,"","","",,,,No,,,,,,,
901062094,1,Indigenous,No,18 - 24,Female,3 to 7 metres (approx. 10 to 23 feet),,,,1,,1,1,,,1,,,,,,1,1,1,Yes,No,Yes,1,1,,,1,1,,,No,,,,,1,,,,1,,,,Yes,1,,"",,,,"",1,"",,,,,,,,1,,,,,,"","",,,,,"",,,,"",,"",1,1,1,1,,No,,,,"",,,,"",Yes,No,,,,No,,,,,,,
873397460,1,Indigenous,No,17 and younger,Male,3 to 7 metres (approx. 10 to 23 feet),1,1,,,,1,,,,1,,,,,,,1,1,Yes,Yes,No,,,,,,,,,"",1,1,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,1,1,1,,Yes,,,,"",,,,"",No,"",,,1,No,,,,,,,
485072560,1,Indigenous,No,17 and younger,Male,3 to 7 metres (approx. 10 to 23 feet),1,,,1,1,1,,,,1,,,,,,,,1,Yes,Yes,Yes,1,,1,1,,1,,,Yes,,,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,1,1,,,Yes,,,,"",,,,"","","",,,,No,,,,,,,
372317986,1,White,No,35 - 44,Male,3 to 7 metres (approx. 10 to 23 feet),1,,,1,,1,,,,,,,,,,,,1,Yes,Yes,No,,,,,,,,,"",1,1,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,1,1,1,,Yes,,,,"",,,,"",No,"",,,1,No,,,,,,,
492284154,1,Indigenous,No,55 - 64,Male,Less than 3 metres (approx. 10 feet),,,,1,,1,,,,,1,,,,,,1,,Yes,No,Yes,1,,,,,1,,,No,,,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,1,1,1,1,Yes,,,,"",,,,"",Yes,No,,,,Fatal,,,,,,,
988246483,1,Indigenous,No,55 - 64,Male,Less than 3 metres (approx. 10 feet),,,,1,,1,,,,,1,,,,,,1,,Yes,No,Yes,1,,,,1,1,,,No,,,,,,,,,,,,,"",1,,"",,,,"",1,No,,,,,,,1,1,1,1,1,,,"","",,,,,"",,,,"",,"",,,,,,"",,,,"",,,,"","","",,,,Fatal,,,,,,,
443690357,1,Indigenous,No,55 - 64,Male,Less than 3 metres (approx. 10 feet),,,,1,,1,,,,,1,,,,,,1,,Yes,No,Yes,1,,,,1,1,,,No,,,,,,,,,,,,,"",1,,"",,,,"",1,No,,,,,,,1,1,1,1,1,,,"","",,,,,"",,,,"",,"",,,,,,"",,,,"",,,,"","","",,,,Fatal,,,,,,,
707855712,1,Indigenous,No,17 and younger,Female,Less than 3 metres (approx. 10 feet),1,1,1,1,1,1,1,1,,1,,,,,,,,,Yes,Yes,Yes,1,1,1,1,1,1,,,No,,,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,,,,,"",1,1,,Yes,,,,"",Yes,No,,,,No,,,,,,,
707855712,2,Indigenous,No,18 - 24,Female,Less than 3 metres (approx. 10 feet),1,1,1,1,1,1,1,1,,1,,,,,,,,,Yes,Yes,Yes,1,1,1,1,1,1,,,No,,,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,,,,,"",1,1,,Yes,,,,"",Yes,No,,,,No,,,,,,,
707855712,3,Indigenous,No,18 - 24,Male,Less than 3 metres (approx. 10 feet),1,1,1,1,,1,1,,,1,,,1,,,,,1,Yes,Yes,Yes,1,1,1,1,1,1,,,Yes,,,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,,,,,"",1,1,,Yes,,,,"",Yes,Yes,,,,No,,,,,,,
707855712,4,Indigenous,No,18 - 24,Male,Less than 3 metres (approx. 10 feet),1,1,1,1,1,1,1,1,,1,,,1,,,,,1,Yes,Yes,Yes,1,1,1,1,1,1,,,No,,,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,,,,,"",1,1,,Yes,,,,"",Yes,No,,,,No,,,,,,,
406388066,1,White,No,65 and older,Male,Less than 3 metres (approx. 10 feet),,,,1,,,,,,,,1,,,1,1,,1,No,"",No,,,,,,,,,"",1,1,,,1,,1,,,,,,No,1,,"",,,,"",1,Yes,,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",,,,,,"",,,,"",,,,"","","",,,,No,,,,,,,
607613696,1,White,No,35 - 44,Male,Less than 3 metres (approx. 10 feet),1,,,,,1,,,,1,1,,1,,,,1,1,Yes,Yes,Yes,1,1,,,,1,,,Yes,,,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,,,,,"",1,1,,Yes,,,,"",Yes,Yes,,,,No,,,,,,,
607613696,2,White,No,45 - 54,Male,3 to 7 metres (approx. 10 to 23 feet),1,,,,,1,,,,1,1,,1,,,,1,1,Yes,Yes,Yes,1,1,,1,,1,,,Yes,,,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,,,,,"",1,1,,Yes,,,,"",Yes,Yes,,,,No,,,,,,,
621543945,1,Indigenous,No,18 - 24,Male,Greater than 7 metres (more than 23 feet),1,,,1,,,,,,1,1,,,,,,,,No,"",No,,,,,,,,,"",1,1,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,1,1,,,Yes,,,,"",,,,"","","",,,,No,,,,,,,
744237713,1,Indigenous,No,18 - 24,Male,Greater than 7 metres (more than 23 feet),1,1,,1,1,1,,,,1,1,,1,,,,1,1,Yes,Yes,Yes,1,1,,1,,1,,,Yes,,,,,1,1,,,,,,,Yes,,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,1,1,1,,Yes,,,,"",,,,"",Yes,Yes,,,,No,,,,,,,
927295231,1,Indigenous,No,18 - 24,Male,Greater than 7 metres (more than 23 feet),1,1,,1,1,,,,,1,1,,,,,,1,1,Yes,Yes,Yes,1,1,1,1,1,1,,,No,,,,,,,,,,,,,"",1,,"",,,,"",1,Yes,,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,1,1,1,,Yes,,,,"",,,,"",Yes,No,,,,No,,,,,,,
835057271,1,Indigenous,No,18 - 24,Male,Greater than 7 metres (more than 23 feet),1,1,1,1,1,1,,,,1,1,,,,,,1,1,No,"",No,,,,,,,,,"",,,1,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,1,1,1,,Yes,,,,"",,,,"",No,"",,,1,No,,,,,,,
391444710,1,White,No,25 - 34,Male,3 to 7 metres (approx. 10 to 23 feet),1,,,1,,,1,,,1,1,,,,,1,1,1,Yes,No,Yes,1,1,1,1,1,1,,,Yes,,,,,1,,,1,1,,,,Yes,1,,"",,,,"",1,Yes,,,,,,,,1,1,1,1,,,"","",,,,,"",,,,"",,"",,,,,,"",,,,"",,,,"","","",,,,Yes,,,,,,,1
787889648,1,White,No,25 - 34,Male,Greater than 7 metres (more than 23 feet),1,1,1,1,1,1,1,,,1,,,1,,1,1,1,1,Yes,No,Yes,1,1,1,1,1,1,,,No,,,,,,,,,,,,,"",1,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,1,1,1,,No,,,,"",,,,"",Yes,No,,,,Yes,,,,,,,1
881285059,1,White,No,25 - 34,Male,Greater than 7 metres (more than 23 feet),,1,,1,1,1,,,,1,,,,,,1,1,1,No,"",No,,,,,,,,,"",,,1,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,,,,,"",1,1,,No,,,,"",No,"",,,1,No,,,,,,,
833209617,1,White,No,25 - 34,Male,Greater than 7 metres (more than 23 feet),,,,1,,,,,,1,,,,,,1,1,1,No,"",No,,,,,,,,,"",,,1,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,1,1,,,No,,,,"",,,,"","","",,,,No,,,,,,,
172326138,1,White,No,25 - 34,Female,Less than 3 metres (approx. 10 feet),1,,,1,,1,,,,1,,,1,,,,,1,Yes,Yes,Yes,1,,,1,,1,,,Yes,,,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,,,,,"",1,1,,Yes,,,,"",Yes,Yes,,,,No,,,,,,,
172326138,2,White,No,35 - 44,Female,Less than 3 metres (approx. 10 feet),1,,,1,,1,,,,1,,,1,,,,,1,Yes,Yes,Yes,1,,,1,,1,,,Yes,,,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,,,,,"",1,1,,Yes,,,,"",Yes,Yes,,,,No,,,,,,,
172326138,3,White,No,35 - 44,Female,Less than 3 metres (approx. 10 feet),1,,,1,,1,,,,1,,,1,,,,,1,Yes,Yes,Yes,1,,,1,,1,,,Yes,,,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,,,,,"",1,1,,Yes,,,,"",Yes,Yes,,,,No,,,,,,,
172326138,4,White,No,35 - 44,Male,Less than 3 metres (approx. 10 feet),1,,,1,,1,,,,1,,,1,,,,,1,Yes,Yes,Yes,1,,,1,,1,,,Yes,,,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,,,,,"",1,1,,Yes,,,,"",Yes,Yes,,,,No,,,,,,,
172326138,5,White,No,45 - 54,Male,Less than 3 metres (approx. 10 feet),1,,,1,,1,,,,1,,,1,,,,,1,Yes,Yes,Yes,1,,,1,,1,,,Yes,,,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,,,,,"",1,1,,Yes,,,,"",Yes,Yes,,,,No,,,,,,,
172326138,6,White,No,45 - 54,Male,Less than 3 metres (approx. 10 feet),1,,,1,,1,,,,1,,,1,,,,,1,Yes,Yes,Yes,1,,,1,,1,,,Yes,,,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,,,,,"",1,1,,Yes,,,,"",Yes,Yes,,,,No,,,,,,,
393998780,1,Indigenous,No,35 - 44,Male,Less than 3 metres (approx. 10 feet),1,,,,,,,,,1,,,1,,,,,1,Yes,Yes,Yes,1,,,,,,,,Yes,,,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,1,1,,,No,1,1,,Yes,,,,"",Yes,Yes,,,,No,,,,,,,
482589494,1,Indigenous,No,35 - 44,Male,Greater than 7 metres (more than 23 feet),1,,,1,1,1,,,,1,1,1,1,,,,,1,No,"",No,,,,,,,,,"",,,,1,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,1,1,,,No,1,,,Yes,,,,"","","",,,,No,,,,,,,
846857347,1,Indigenous,No,18 - 24,Male,Greater than 7 metres (more than 23 feet),,,,1,1,1,,,,1,,,,,,1,1,1,Yes,Yes,Yes,1,1,,1,1,1,,,No,,,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,1,1,1,,Yes,,,,"",,,,"",Yes,No,,,,No,,,,,,,
671083472,1,White,No,25 - 34,Male,3 to 7 metres (approx. 10 to 23 feet),1,1,1,1,1,1,,,,1,,,,,,1,,1,Yes,No,Yes,1,,,1,1,1,,,Yes,,,,,,,,,,,,,"",1,,"",,,,"",1,Yes,,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",,,,,,"",,,,"",,,,"","","",,,,No,,,,,,,
884531144,1,Indigenous,No,25 - 34,Male,3 to 7 metres (approx. 10 to 23 feet),1,1,,1,1,1,,,,1,1,,1,,,,1,1,Yes,Yes,Yes,1,1,,1,,,,,No,,,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,1,1,1,,Yes,,,,"",,,,"",Yes,No,,,,No,,,,,,,
824421015,1,Indigenous,No,25 - 34,Male,Less than 3 metres (approx. 10 feet),1,,,1,,1,,,,,,1,,,1,1,1,,Yes,No,Yes,1,,,1,,1,,,Yes,,,,,,,,,,,,,"",1,,"",,,,"",1,No,,,,,,,1,1,1,1,1,,,"","",,,,,"",,,,"",,"",,,,,,"",,,,"",,,,"","","",,,,No,,,,,,,
705952575,1,Indigenous,No,25 - 34,Male,3 to 7 metres (approx. 10 to 23 feet),,,,1,,1,,,,,,,,,,,1,1,Yes,No,Yes,1,,1,1,,1,,,No,,,,,,,,,,,,,"",1,,"",,,,"",,"",,,,,,,,,1,,,,,"","",,,,,"",,,,"",,"",1,1,1,,,No,,,,"",,,,"","","",,,,No,,,,,,,
456623856,1,White,No,18 - 24,Female,Less than 3 metres (approx. 10 feet),,,,1,1,1,,,,,,,1,,,,,,Yes,Yes,Yes,1,,,,,1,,,Yes,,,,,,,,,,,,,"",,,"",,,,"",,"",,,,,,,,,,,,,,"","",,,,,"",,,,"",,"",1,,,,,"",1,1,,Yes,,,,"",Yes,Yes,,,,No,,,,,,,
